event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,39,2025-04-12T03:20:00+00:00,2025,5,Carlton,West Coast,121.0,50.0,win,1503.8971305352857,1507.1757024361148,3.278571900829112
match,39,2025-04-12T03:20:00+00:00,2025,5,West Coast,Carlton,50.0,121.0,loss,1378.4070959408405,1375.1285240400114,-3.278571900829112
match,40,2025-04-12T06:15:00+00:00,2025,5,Western Bulldogs,Brisbane Lions,97.0,118.0,loss,1535.0664948822928,1530.48163703227,-4.584857850022671
match,40,2025-04-12T06:15:00+00:00,2025,5,Brisbane Lions,Western Bulldogs,118.0,97.0,win,1588.0753397220901,1592.6601975721128,4.584857850022671
match,41,2025-04-12T09:35:00+00:00,2025,5,Melbourne,Essendon,57.0,96.0,loss,1502.1781826286035,1495.394991719116,-6.783190909487573
match,41,2025-04-12T09:35:00+00:00,2025,5,Essendon,Melbourne,96.0,57.0,win,1475.9434537064692,1482.7266446159567,6.783190909487573
match,42,2025-04-13T02:35:00+00:00,2025,5,Richmond,Fremantle,47.0,108.0,loss,1405.1127426910416,1399.8209728678237,-5.2917698232179635
match,42,2025-04-13T02:35:00+00:00,2025,5,Fremantle,Richmond,108.0,47.0,win,1514.6706082346502,1519.9623780578681,5.2917698232179635
match,43,2025-04-13T05:20:00+00:00,2025,5,St Kilda,Greater Western Sydney,82.0,110.0,loss,1505.9551493636507,1500.4750221586326,-5.480127205018029
match,43,2025-04-13T05:20:00+00:00,2025,5,Greater Western Sydney,St Kilda,110.0,82.0,win,1527.639416645888,1533.1195438509062,5.480127205018029
match,44,2025-04-13T09:20:00+00:00,2025,5,Port Adelaide,Hawthorn,121.0,91.0,win,1519.8525921416394,1524.2177890552216,4.365196913582108
match,44,2025-04-13T09:20:00+00:00,2025,5,Hawthorn,Port Adelaide,91.0,121.0,loss,1532.7441119881364,1528.3789150745542,-4.365196913582108
match,45,2025-04-17T09:30:00+00:00,2025,6,Brisbane Lions,Collingwood,53.0,105.0,loss,1592.6601975721128,1584.8734326715035,-7.786764900609371
match,45,2025-04-17T09:30:00+00:00,2025,6,Collingwood,Brisbane Lions,105.0,53.0,win,1538.4794650303388,1546.2662299309482,7.786764900609371
match,46,2025-04-18T05:20:00+00:00,2025,6,North Melbourne,Carlton,71.0,153.0,loss,1371.5918890161552,1366.3751911703298,-5.216697845825326
match,46,2025-04-18T05:20:00+00:00,2025,6,Carlton,North Melbourne,153.0,71.0,win,1507.1757024361148,1512.3924002819401,5.216697845825326
match,47,2025-04-18T08:10:00+00:00,2025,6,West Coast,Essendon,75.0,77.0,loss,1375.1285240400114,1373.8941563216624,-1.234367718348998
match,47,2025-04-18T08:10:00+00:00,2025,6,Essendon,West Coast,77.0,75.0,win,1482.7266446159567,1483.9610123343057,1.234367718348998
match,48,2025-04-19T03:20:00+00:00,2025,6,Melbourne,Fremantle,107.0,97.0,win,1495.394991719116,1498.4440506238097,3.049058904693661
match,48,2025-04-19T03:20:00+00:00,2025,6,Fremantle,Melbourne,97.0,107.0,loss,1519.9623780578681,1516.9133191531744,-3.049058904693661
match,49,2025-04-19T06:15:00+00:00,2025,6,Adelaide,Greater Western Sydney,52.0,34.0,win,1489.3003892109818,1493.3621998049891,4.061810594007239
match,49,2025-04-19T06:15:00+00:00,2025,6,Greater Western Sydney,Adelaide,34.0,52.0,loss,1533.1195438509062,1529.057733256899,-4.061810594007239
match,50,2025-04-19T09:35:00+00:00,2025,6,Richmond,Gold Coast,80.0,69.0,win,1399.8209728678237,1403.7344598434158,3.9134869755920882
match,50,2025-04-19T09:35:00+00:00,2025,6,Gold Coast,Richmond,69.0,80.0,loss,1497.6150310223686,1493.7015440467765,-3.9134869755920882
match,51,2025-04-20T05:20:00+00:00,2025,6,Sydney,Port Adelaide,77.0,85.0,loss,1560.165468482008,1556.2558649869877,-3.9096034950203475
match,51,2025-04-20T05:20:00+00:00,2025,6,Port Adelaide,Sydney,85.0,77.0,win,1524.2177890552216,1528.127392550242,3.9096034950203475
match,52,2025-04-20T09:20:00+00:00,2025,6,Western Bulldogs,St Kilda,127.0,56.0,win,1530.48163703227,1535.2655713658592,4.783934333589053
match,52,2025-04-20T09:20:00+00:00,2025,6,St Kilda,Western Bulldogs,56.0,127.0,loss,1500.4750221586326,1495.6910878250435,-4.783934333589053
match,53,2025-04-21T05:20:00+00:00,2025,6,Geelong,Hawthorn,86.0,79.0,win,1553.3054393033478,1555.5080898094568,2.202650506108985
match,53,2025-04-21T05:20:00+00:00,2025,6,Hawthorn,Geelong,79.0,86.0,loss,1528.3789150745542,1526.1762645684453,-2.202650506108985
match,54,2025-04-24T09:30:00+00:00,2025,7,Melbourne,Richmond,83.0,63.0,win,1498.4440506238097,1501.0163968223633,2.572346198553547
match,54,2025-04-24T09:30:00+00:00,2025,7,Richmond,Melbourne,63.0,83.0,loss,1403.7344598434158,1401.1621136448623,-2.572346198553547
match,55,2025-04-25T05:20:00+00:00,2025,7,Collingwood,Essendon,107.0,66.0,win,1546.2662299309482,1549.929413589858,3.6631836589099134
match,55,2025-04-25T05:20:00+00:00,2025,7,Essendon,Collingwood,66.0,107.0,loss,1483.9610123343057,1480.2978286753957,-3.6631836589099134
match,56,2025-04-25T10:10:00+00:00,2025,7,Fremantle,Adelaide,85.0,67.0,win,1516.9133191531744,1520.1682303071884,3.254911154014127
match,56,2025-04-25T10:10:00+00:00,2025,7,Adelaide,Fremantle,67.0,85.0,loss,1493.3621998049891,1490.107288650975,-3.254911154014127
match,57,2025-04-26T03:20:00+00:00,2025,7,St Kilda,Brisbane Lions,73.0,118.0,loss,1495.6910878250435,1490.4852539157723,-5.205833909271097
match,57,2025-04-26T03:20:00+00:00,2025,7,Brisbane Lions,St Kilda,118.0,73.0,win,1584.8734326715035,1590.0792665807746,5.205833909271097
match,58,2025-04-26T06:15:00+00:00,2025,7,Port Adelaide,North Melbourne,97.0,88.0,win,1528.127392550242,1529.5429547643337,1.4155622140918327
match,58,2025-04-26T06:15:00+00:00,2025,7,North Melbourne,Port Adelaide,88.0,97.0,loss,1366.3751911703298,1364.959628956238,-1.4155622140918327
match,59,2025-04-26T09:35:00+00:00,2025,7,Greater Western Sydney,Western Bulldogs,81.0,113.0,loss,1529.057733256899,1523.121545618763,-5.936187638135728
match,59,2025-04-26T09:35:00+00:00,2025,7,Western Bulldogs,Greater Western Sydney,113.0,81.0,win,1535.2655713658592,1541.201759003995,5.936187638135728
match,60,2025-04-27T03:10:00+00:00,2025,7,Gold Coast,Sydney,117.0,79.0,win,1493.7015440467765,1499.1565829474873,5.455038900710952
match,60,2025-04-27T03:10:00+00:00,2025,7,Sydney,Gold Coast,79.0,117.0,loss,1556.2558649869877,1550.8008260862769,-5.455038900710952
match,61,2025-04-27T05:20:00+00:00,2025,7,Carlton,Geelong,94.0,76.0,win,1512.3924002819401,1516.4456048696402,4.0532045877001
match,61,2025-04-27T05:20:00+00:00,2025,7,Geelong,Carlton,76.0,94.0,loss,1555.5080898094568,1551.4548852217567,-4.0532045877001
match,62,2025-04-27T06:40:00+00:00,2025,7,Hawthorn,West Coast,124.0,74.0,win,1526.1762645684453,1528.838516434091,2.662251865645749
match,62,2025-04-27T06:40:00+00:00,2025,7,West Coast,Hawthorn,74.0,124.0,loss,1373.8941563216624,1371.2319044560168,-2.662251865645749
match,63,2025-05-01T09:30:00+00:00,2025,8,Essendon,North Melbourne,65.0,62.0,win,1480.2978286753957,1481.2843440459835,0.9865153705878218
match,63,2025-05-01T09:30:00+00:00,2025,8,North Melbourne,Essendon,62.0,65.0,loss,1364.959628956238,1363.9731135856503,-0.9865153705878218
match,64,2025-05-02T09:40:00+00:00,2025,8,St Kilda,Fremantle,94.0,33.0,win,1490.4852539157723,1496.1138986813787,5.628644765606456
match,64,2025-05-02T09:40:00+00:00,2025,8,Fremantle,St Kilda,33.0,94.0,loss,1520.1682303071884,1514.539585541582,-5.628644765606456
match,65,2025-05-03T03:20:00+00:00,2025,8,Western Bulldogs,Port Adelaide,131.0,41.0,win,1541.201759003995,1546.609241083617,5.407482079621989
match,65,2025-05-03T03:20:00+00:00,2025,8,Port Adelaide,Western Bulldogs,41.0,131.0,loss,1529.5429547643337,1524.1354726847117,-5.407482079621989
match,66,2025-05-03T06:15:00+00:00,2025,8,Adelaide,Carlton,110.0,50.0,win,1490.107288650975,1495.6532724134595,5.5459837624843145
match,66,2025-05-03T06:15:00+00:00,2025,8,Carlton,Adelaide,50.0,110.0,loss,1516.4456048696402,1510.8996211071558,-5.5459837624843145
match,67,2025-05-03T09:35:00+00:00,2025,8,Collingwood,Geelong,87.0,90.0,loss,1549.929413589858,1547.7748839188034,-2.1545296710546458
match,67,2025-05-03T09:35:00+00:00,2025,8,Geelong,Collingwood,90.0,87.0,win,1551.4548852217567,1553.6094148928114,2.1545296710546458
match,68,2025-05-03T09:35:00+00:00,2025,8,West Coast,Melbourne,76.0,108.0,loss,1371.2319044560168,1367.1059987465133,-4.125905709503498
match,68,2025-05-03T09:35:00+00:00,2025,8,Melbourne,West Coast,108.0,76.0,win,1501.0163968223633,1505.1423025318668,4.125905709503498
match,69,2025-05-04T03:10:00+00:00,2025,8,Sydney,Greater Western Sydney,87.0,73.0,win,1550.8008260862769,1553.724806835269,2.9239807489920095
match,69,2025-05-04T03:10:00+00:00,2025,8,Greater Western Sydney,Sydney,73.0,87.0,loss,1523.121545618763,1520.197564869771,-2.9239807489920095
match,70,2025-05-04T05:20:00+00:00,2025,8,Hawthorn,Richmond,109.0,44.0,win,1528.838516434091,1532.01493533319,3.1764188990988607
match,70,2025-05-04T05:20:00+00:00,2025,8,Richmond,Hawthorn,44.0,109.0,loss,1401.1621136448623,1397.9856947457633,-3.1764188990988607
match,71,2025-05-04T09:20:00+00:00,2025,8,Brisbane Lions,Gold Coast,66.0,49.0,win,1590.0792665807746,1592.5460616572818,2.4667950765072613
match,71,2025-05-04T09:20:00+00:00,2025,8,Gold Coast,Brisbane Lions,49.0,66.0,loss,1499.1565829474873,1496.6897878709801,-2.4667950765072613
match,72,2025-05-08T10:10:00+00:00,2025,9,Fremantle,Collingwood,83.0,97.0,loss,1514.539585541582,1510.3571711315744,-4.182414410007544
